date,purchases,revenue,total_views,unique_invoices,unique_streams,year_month
2017-11-01,0,0.0,0,0,0,2017-11
2017-11-02,0,0.0,0,0,0,2017-11
2017-11-03,0,0.0,0,0,0,2017-11
2017-11-04,0,0.0,0,0,0,2017-11
2017-11-05,0,0.0,0,0,0,2017-11
2017-11-06,0,0.0,0,0,0,2017-11
2017-11-07,0,0.0,0,0,0,2017-11
2017-11-08,0,0.0,0,0,0,2017-11
2017-11-09,0,0.0,0,0,0,2017-11
2017-11-10,0,0.0,0,0,0,2017-11
2017-11-11,0,0.0,0,0,0,2017-11
2017-11-12,0,0.0,0,0,0,2017-11
2017-11-13,0,0.0,0,0,0,2017-11
2017-11-14,0,0.0,0,0,0,2017-11
2017-11-15,0,0.0,0,0,0,2017-11
2017-11-16,0,0.0,0,0,0,2017-11
2017-11-17,0,0.0,0,0,0,2017-11
2017-11-18,0,0.0,0,0,0,2017-11
2017-11-19,0,0.0,0,0,0,2017-11
2017-11-20,0,0.0,0,0,0,2017-11
2017-11-21,0,0.0,0,0,0,2017-11
2017-11-22,0,0.0,0,0,0,2017-11
2017-11-23,0,0.0,0,0,0,2017-11
2017-11-24,0,0.0,0,0,0,2017-11
2017-11-25,0,0.0,0,0,0,2017-11
2017-11-26,0,0.0,0,0,0,2017-11
2017-11-27,0,0.0,0,0,0,2017-11
2017-11-28,0,0.0,0,0,0,2017-11
2017-11-29,23,49.330000000000005,240,2,22,2017-11
2017-11-30,0,0.0,0,0,0,2017-11
2017-12-01,22,77.52000000000001,195,1,22,2017-12
2017-12-02,0,0.0,0,0,0,2017-12
2017-12-03,0,0.0,0,0,0,2017-12
2017-12-04,0,0.0,0,0,0,2017-12
2017-12-05,51,104.15,51,1,51,2017-12
2017-12-06,0,0.0,0,0,0,2017-12
2017-12-07,0,0.0,0,0,0,2017-12
2017-12-08,0,0.0,0,0,0,2017-12
2017-12-09,0,0.0,0,0,0,2017-12
2017-12-10,0,0.0,0,0,0,2017-12
2017-12-11,0,0.0,0,0,0,2017-12
2017-12-12,0,0.0,0,0,0,2017-12
2017-12-13,7,37.25,76,1,7,2017-12
2017-12-14,0,0.0,0,0,0,2017-12
2017-12-15,52,116.00999999999999,634,1,52,2017-12
2017-12-16,0,0.0,0,0,0,2017-12
2017-12-17,0,0.0,0,0,0,2017-12
2017-12-18,0,0.0,0,0,0,2017-12
2017-12-19,0,0.0,0,0,0,2017-12
2017-12-20,0,0.0,0,0,0,2017-12
2017-12-21,0,0.0,0,0,0,2017-12
2017-12-22,0,0.0,0,0,0,2017-12
2017-12-23,0,0.0,0,0,0,2017-12
2017-12-24,0,0.0,0,0,0,2017-12
2017-12-25,0,0.0,0,0,0,2017-12
2017-12-26,0,0.0,0,0,0,2017-12
2017-12-27,0,0.0,0,0,0,2017-12
2017-12-28,0,0.0,0,0,0,2017-12
2017-12-29,0,0.0,0,0,0,2017-12
2017-12-30,0,0.0,0,0,0,2017-12
2017-12-31,0,0.0,0,0,0,2017-12
2018-01-01,0,0.0,0,0,0,2018-01
2018-01-02,0,0.0,0,0,0,2018-01
2018-01-03,0,0.0,0,0,0,2018-01
2018-01-04,0,0.0,0,0,0,2018-01
2018-01-05,0,0.0,0,0,0,2018-01
2018-01-06,0,0.0,0,0,0,2018-01
2018-01-07,0,0.0,0,0,0,2018-01
2018-01-08,2,15.64,7,1,2,2018-01
2018-01-09,0,0.0,0,0,0,2018-01
2018-01-10,0,0.0,0,0,0,2018-01
2018-01-11,0,0.0,0,0,0,2018-01
2018-01-12,9,47.150000000000006,85,2,8,2018-01
2018-01-13,0,0.0,0,0,0,2018-01
2018-01-14,0,0.0,0,0,0,2018-01
2018-01-15,0,0.0,0,0,0,2018-01
2018-01-16,0,0.0,0,0,0,2018-01
2018-01-17,0,0.0,0,0,0,2018-01
2018-01-18,0,0.0,0,0,0,2018-01
2018-01-19,49,90.42,484,2,48,2018-01
2018-01-20,0,0.0,0,0,0,2018-01
2018-01-21,0,0.0,0,0,0,2018-01
2018-01-22,0,0.0,0,0,0,2018-01
2018-01-23,91,184.24,966,2,90,2018-01
2018-01-24,0,0.0,0,0,0,2018-01
2018-01-25,0,0.0,0,0,0,2018-01
2018-01-26,0,0.0,0,0,0,2018-01
2018-01-27,0,0.0,0,0,0,2018-01
2018-01-28,0,0.0,0,0,0,2018-01
2018-01-29,0,0.0,0,0,0,2018-01
2018-01-30,0,0.0,0,0,0,2018-01
2018-01-31,9,41.5,66,1,9,2018-01
2018-02-01,0,0.0,0,0,0,2018-02
2018-02-02,0,0.0,0,0,0,2018-02
2018-02-03,0,0.0,0,0,0,2018-02
2018-02-04,0,0.0,0,0,0,2018-02
2018-02-05,0,0.0,0,0,0,2018-02
2018-02-06,0,0.0,0,0,0,2018-02
2018-02-07,0,0.0,0,0,0,2018-02
2018-02-08,0,0.0,0,0,0,2018-02
2018-02-09,0,0.0,0,0,0,2018-02
2018-02-10,0,0.0,0,0,0,2018-02
2018-02-11,0,0.0,0,0,0,2018-02
2018-02-12,0,0.0,0,0,0,2018-02
2018-02-13,0,0.0,0,0,0,2018-02
2018-02-14,0,0.0,0,0,0,2018-02
2018-02-15,59,1091.53,681,4,58,2018-02
2018-02-16,0,0.0,0,0,0,2018-02
2018-02-17,0,0.0,0,0,0,2018-02
2018-02-18,0,0.0,0,0,0,2018-02
2018-02-19,0,0.0,0,0,0,2018-02
2018-02-20,0,0.0,0,0,0,2018-02
2018-02-21,4,10.169999999999998,35,1,4,2018-02
